,transcript,score,moduleColor,cluster_id
12,AT4G15690.1,1.0121017646402204,blue,2A
38,AT1G66180.1,1.0193926331098713,blue,2A
91,AT2G17880.1,1.0217540667568328,blue,2A
26,AT5G54270.1,1.0649759633711258,red,6A
243,AT1G06040.1,1.0684816397639274,red,6A
289,AT1G06045.1,1.0728066352717391,red,6A
258,AT5G64940.1,1.053505259271893,turquoise,7A
259,AT4G08870.1,1.0591677341103112,turquoise,7A
30,AT1G13080.1,1.0713486330765511,turquoise,7A
62,AT5G17220.1,1.043541654252887,yellow,8A
119,AT3G17609.2,1.046891809842212,yellow,8A
138,AT5G54060.1,1.0511356032649093,yellow,8A
13,AT3G21755.2,1.0180172321491052,pink,5A
55,AT5G06690.1,0.9604947678952899,brown,3A
150,AT1G17455.1,0.9750181957762145,brown,3A
16,AT3G23280.2,0.9769478798389442,brown,3A
251,AT5G67030.1,1.064400654608974,black,1A
85,AT5G13630.1,1.0733272592717584,black,1A
173,AT1G75100.1,1.079618004380386,black,1A
213,AT4G33440.1,0.9820361440043622,green,4A
225,AT1G55320.1,0.9829226175559078,green,4A
151,AT5G22020.1,0.9872954691017244,green,4A
288,AT3G58010.2,1.0291453212953365,None,None
218,AT1G73870.1,1.030422006570794,None,None
172,AT2G29650.2,1.0617677334616253,None,None
