transcript,moduleColor,cluster_id
AT1G11890.1,None,None
AT1G12080.1,None,None
AT1G12140.3,None,None
AT1G09580.1,brown,3A
AT1G09940.1,brown,3A
AT1G10760.2,brown,3A
AT1G10490.1,turquoise,7A
AT1G11580.1,turquoise,7A
AT1G12000.1,turquoise,7A
AT1G09690.1,black,1A
AT1G10020.1,black,1A
AT1G10840.1,black,1A
AT1G11260.1,blue,2A
AT1G11360.1,blue,2A
AT1G11480.1,blue,2A
AT1G10650.1,yellow,8A
AT1G11720.2,yellow,8A
AT1G12110.1,yellow,8A
AT1G09660.1,green,4A
AT1G11130.1,green,4A
AT1G11790.1,green,4A
AT1G06573.1,red,6A
AT1G06680.1,red,6A
AT1G09750.1,red,6A
AT1G08530.1,pink,5A
AT1G09795.1,pink,5A
AT1G09850.1,pink,5A
