,transcript,moduleColor,cluster_id
0,AT1G02410.1,,
1,AT1G02475.1,,
2,AT1G05023.1,,
3,AT1G02120.2,,
4,AT1G04870.2,,
5,AT1G03400.1,,
6,AT1G04250.1,black,1A
7,AT1G04020.1,,
8,AT1G03150.1,,
9,AT1G05470.1,turquoise,7A
10,AT1G05910.1,yellow,8A
11,AT1G02930.2,,
12,AT1G04280.1,red,6A
13,AT1G01240.1,blue,2A
14,AT1G02610.1,,
15,AT1G04870.1,,
16,AT1G02160.2,,
17,AT1G02660.1,blue,2A
18,AT1G02205.5,,
19,AT1G04555.1,,
20,AT1G02205.1,,
21,AT1G01490.1,,
22,AT1G01540.2,turquoise,7A
23,AT1G01950.4,,
24,AT1G02305.1,brown,3A
25,AT1G02870.1,turquoise,7A
26,AT1G01220.1,,
27,AT1G04833.1,,
28,AT1G03280.1,,
29,AT1G05720.1,,
30,AT1G01060.2,,
31,AT1G05835.1,brown,3A
32,AT1G05170.2,turquoise,7A
33,AT1G05940.1,,
34,AT1G04240.1,,
35,AT1G03080.2,,
36,AT1G03055.1,yellow,8A
37,AT1G04950.1,,
38,AT1G01420.1,,
39,AT1G03730.1,brown,3A
40,AT1G04267.1,,
41,AT1G04260.1,,
42,AT1G04433.1,,
43,AT1G04837.1,,
44,AT1G01490.2,,
45,AT1G04800.1,,
46,AT1G03475.1,,
47,AT1G05860.1,,
48,AT1G05900.2,yellow,8A
49,AT1G03160.3,,
50,AT1G03060.2,,
51,AT1G02930.1,,
52,AT1G05870.1,,
53,AT1G05540.1,green,4A
